evolution$generation,evolution$evaluated,popInit,infectionRadiusI,distRandomWalk,angleRotatRandomWalk,objective$integraleInfected,objective$integraleExposed,evolution$samples,propExposed,teG,trG,infectionRadiusI,propRecovered,integraleInfected,density,tiG,propInfecte,mySeed,integraleExposed,propInfected,propSuseptible
700,49932,525.0142944044367,1.3326687007428148,4.927884446982622,7.383459825536669,8.611927589919079,405.39740984734203,1,"[0.0]","[3.0]","[365.0]","[1.3326687007428148]","[0.14666267341796266]","[8.611927589919079]","[0.4821067900867187]","[7.0]","[1.0]","[1414304396]","[405.39740984734203]","[0.14666267341796266]","[0.8533100998863282]"
700,49932,783.1393474272561,4.330473429483594,4.459307277401777,64.95704603607376,39.38017452504427,13.467024567897301,25,"[0.04469191864127484,0.040861182757736994,0.026815151184764904,0.04469191864127484,0.020430591378868497,0.03192279902948203,0.026815151184764904,0.040861182757736994,0.03958427079655771,0.020430591378868497,0.029368975107123465,0.042138094718916275,0.03192279902948203,0.03703044687419915,0.025538239223585623,0.03958427079655771,0.03447662295184059,0.040861182757736994,0.03319971099066131,0.03192279902948203,0.03703044687419915,0.020430591378868497,0.030645887068302746,0.03319971099066131,0.03575353491301987]","[3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0]","[365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0]","[4.330473429483594,4.330473429483594,4.330473429483594,4.330473429483594,4.330473429483594,4.330473429483594,4.330473429483594,4.330473429483594,4.330473429483594,4.330473429483594,4.330473429483594,4.330473429483594,4.330473429483594,4.330473429483594,4.330473429483594,4.330473429483594,4.330473429483594,4.330473429483594,4.330473429483594,4.330473429483594,4.330473429483594,4.330473429483594,4.330473429483594,4.330473429483594,4.330473429483594]","[0.9053305804761104,0.890007636941959,0.921930435971441,0.8963921967478553,0.912992052243186,0.9078844043984688,0.9078844043984688,0.9027767565537518,0.9180997000879031,0.9168227881267239,0.9078844043984688,0.9040536685149311,0.9040536685149311,0.8963921967478553,0.9193766120490824,0.9066074924372896,0.9002229326313932,0.8976691087090346,0.9104382283208274,0.9053305804761104,0.9002229326313932,0.9168227881267239,0.8951152847866761,0.9053305804761104,0.9104382283208274]","[42.13516467592957,37.59135626598769,34.656093920146475,39.11848819109842,38.723977175553735,39.453478365397906,39.09476868491148,42.61255855735539,39.10420577538757,37.057360585858355,40.29072202296135,41.21140167593095,38.157641394534906,42.648483284323525,39.38017452504427,37.32614856285736,43.19981957409108,39.02205331457448,35.51613271042789,38.043212397724254,40.6662337150243,42.08881948080559,39.60288258964003,41.31317463583527,41.032355032787976]","[0.7191362235328339,0.7191362235328339,0.7191362235328339,0.7191362235328339,0.7191362235328339,0.7191362235328339,0.7191362235328339,0.7191362235328339,0.7191362235328339,0.7191362235328339,0.7191362235328339,0.7191362235328339,0.7191362235328339,0.7191362235328339,0.7191362235328339,0.7191362235328339,0.7191362235328339,0.7191362235328339,0.7191362235328339,0.7191362235328339,0.7191362235328339,0.7191362235328339,0.7191362235328339,0.7191362235328339,0.7191362235328339]","[7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-506227795,645156000,1996553843,1664400840,43866608,51477724,1988464912,-1103510720,-2076383002,2095673801,759330224,-928095644,530705543,1212535317,413473714,-845860792,1088908870,1379717724,-262430288,-174153526,1759029490,-359149873,1195012451,1892589636,-1611381754]","[13.170741113446047,13.092208039802868,13.15507311673947,13.569740092854488,12.621890079216632,13.82394244986929,13.389178877419535,13.144666736431875,13.691561224556652,13.321639629220135,12.769485518399309,13.739867302979935,13.50917766479624,12.85227757491655,13.538555375398042,14.058261383660529,13.467024567897301,13.576014938282885,13.656551665355913,13.5563803410704,13.137820322389674,13.998076307485702,13.505971002582678,12.965188008375645,13.131427231887736]","[0.9053305804761104,0.890007636941959,0.921930435971441,0.8963921967478553,0.912992052243186,0.9078844043984688,0.9078844043984688,0.9027767565537518,0.9180997000879031,0.9168227881267239,0.9078844043984688,0.9040536685149311,0.9040536685149311,0.8963921967478553,0.9193766120490824,0.9066074924372896,0.9002229326313932,0.8976691087090346,0.9104382283208274,0.9053305804761104,0.9002229326313932,0.9168227881267239,0.8951152847866761,0.9053305804761104,0.9104382283208274]","[0.007661471767075686,0.010215295689434249,0.005107647844717124,0.010215295689434249,0.010215295689434249,0.002553823922358562,0.010215295689434249,0.003830735883537843,0.001276911961179281,0.002553823922358562,0.006384559805896406,0.003830735883537843,0.005107647844717124,0.003830735883537843,0.008938383728254968,0.003830735883537843,0.006384559805896406,0.010215295689434249,0.007661471767075686,0.002553823922358562,0.003830735883537843,0.003830735883537843,0.011492207650613531,0.008938383728254968,0.003830735883537843]"
700,49932,1500.0,4.940406747598688,5.0,9.935972088075363,39.42039066069531,10.89444365948541,1,"[0.023333333333333334]","[3.0]","[365.0]","[4.940406747598688]","[0.9126666666666666]","[39.42039066069531]","[1.3774104683195592]","[7.0]","[1.0]","[606119642]","[10.89444365948541]","[0.9126666666666666]","[0.0013333333333333333]"
700,49932,1019.3202954000582,4.584633087833178,4.6851841895046205,205.4733863093651,40.4805024982422,11.959194975024104,18,"[0.02943137710038996,0.03629869842381428,0.026488239390350964,0.03335556071377529,0.026488239390350964,0.03237451481042895,0.027469285293697295,0.03237451481042895,0.03629869842381428,0.03237451481042895,0.03629869842381428,0.037279744327160615,0.037279744327160615,0.037279744327160615,0.02060196397027297,0.03629869842381428,0.028450331197043627,0.037279744327160615]","[3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0]","[365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0]","[4.584633087833178,4.584633087833178,4.584633087833178,4.584633087833178,4.584633087833178,4.584633087833178,4.584633087833178,4.584633087833178,4.584633087833178,4.584633087833178,4.584633087833178,4.584633087833178,4.584633087833178,4.584633087833178,4.584633087833178,4.584633087833178,4.584633087833178,4.584633087833178]","[0.9202210573388594,0.8986380474652401,0.9035432769819717,0.904524322885318,0.8966759556585474,0.9055053687886644,0.9094295524020497,0.9015811851752791,0.8917707261418157,0.9074674605953571,0.8888275884317768,0.9025622310786254,0.8966759556585474,0.904524322885318,0.9182589655321667,0.9094295524020497,0.9006001392719327,0.9094295524020497]","[37.35765373628379,40.423667510095484,40.99821808743359,40.12714632143045,41.96937241601032,44.10203563761996,40.71564335562097,40.44698998977713,41.560877823978466,39.55407731421568,40.51401500670728,42.79314370961088,41.57911696223882,34.927333716594305,39.92102174379182,36.43257384911764,41.28741494091937,38.101623130378655]","[0.936014963636417,0.936014963636417,0.936014963636417,0.936014963636417,0.936014963636417,0.936014963636417,0.936014963636417,0.936014963636417,0.936014963636417,0.936014963636417,0.936014963636417,0.936014963636417,0.936014963636417,0.936014963636417,0.936014963636417,0.936014963636417,0.936014963636417,0.936014963636417]","[7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-1839856767,-138107685,425690315,-2067241554,-1482025917,1510326005,2058961922,38674644,985441376,-1829639626,893801296,787043091,-1081750511,2074621446,-889891382,-709482194,1046280928,1083175736]","[11.478387132946994,12.088714421412648,11.830386937477972,11.976600734361817,12.143266218484383,12.135091274015618,12.04883513374753,12.299393570019076,12.104180901312526,11.826680278557378,11.934679840640989,11.83184373898608,11.94178921568639,11.761341356582397,11.979947328442288,11.910636408519363,12.215401248042777,11.90937182405958]","[0.9202210573388594,0.8986380474652401,0.9035432769819717,0.904524322885318,0.8966759556585474,0.9055053687886644,0.9094295524020497,0.9015811851752791,0.8917707261418157,0.9074674605953571,0.8888275884317768,0.9025622310786254,0.8966759556585474,0.904524322885318,0.9182589655321667,0.9094295524020497,0.9006001392719327,0.9094295524020497]","[0.003924183613385328,0.0,9.81045903346332E-4,0.00490522951673166,0.001962091806692664,9.81045903346332E-4,0.001962091806692664,0.001962091806692664,0.001962091806692664,0.0029431377100389957,0.005886275420077991,0.0029431377100389957,0.0029431377100389957,9.81045903346332E-4,9.81045903346332E-4,0.001962091806692664,0.005886275420077991,0.003924183613385328]"
700,49932,557.8751770255765,1.1322231091160304,1.0,352.16365242929874,11.162637490174784,297.13018173786674,2,"[0.0,0.007170062703500814]","[3.0,3.0]","[365.0,365.0]","[1.1322231091160304,1.1322231091160304]","[0.13623119136651546,0.7600266465710863]","[9.205072513480525,13.120202466869044]","[0.5122820725671042,0.5122820725671042]","[7.0,7.0]","[1.0,1.0]","[416400799,-376835819]","[407.51564278840954,186.74472068732396]","[0.13623119136651546,0.7600266465710863]","[0.8622000400959728,0.21510188110502443]"
700,49932,500.0,1.0,1.047109013821628,360.0,10.10019608246539,236.5827083780477,1,"[0.026]","[3.0]","[365.0]","[1.0]","[0.746]","[10.10019608246539]","[0.4591368227731864]","[7.0]","[1.0]","[-1273423820]","[236.5827083780477]","[0.746]","[0.182]"
700,49932,899.8119299263204,1.0,1.0699920033312469,189.97331898814278,13.87609124731134,281.17646103240355,16,"[0.010002090104247617,0.0,0.01778149351866243,0.0,0.0,0.018892836863578833,0.0,0.018892836863578833,0.0,0.012224776794080421,0.03000627031274285,0.025560896933077244,0.0,0.0,0.026672240277993645,0.0]","[3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0]","[365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[0.7145937707812464,0.17670359184170792,0.707925710711748,0.14892000821879786,0.14892000821879786,0.7057030240219152,0.15336538159846347,0.7690495946821502,0.14669732152896506,0.7490454144736549,0.7068143673668317,0.7834970581660633,0.13891791811455023,0.14892000821879786,0.760158847922819,0.14558597818404864]","[15.562191790532939,11.318126691349006,14.832517380476366,10.917654190605669,13.827426257371153,17.410943029327996,11.347835662686494,13.924756237251529,11.718752304148017,14.27010221977883,17.62174225084051,14.78304709500944,12.17047156203387,11.805892712968214,17.673247265412513,12.024053907964989]","[0.8262735811995596,0.8262735811995596,0.8262735811995596,0.8262735811995596,0.8262735811995596,0.8262735811995596,0.8262735811995596,0.8262735811995596,0.8262735811995596,0.8262735811995596,0.8262735811995596,0.8262735811995596,0.8262735811995596,0.8262735811995596,0.8262735811995596,0.8262735811995596]","[7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[992474746,-417905904,-931601570,1526006135,-667857436,-1447560056,409069722,-1302510792,-1196126539,1555786797,-1581159668,254908845,1968745897,1009835448,301736584,1985879338]","[166.570032029046,384.3621948716703,172.21425979224048,402.31472132498595,394.924921995207,171.00122373982234,399.09024630625566,166.73322078423269,400.2515159992972,177.99072719313685,167.7671399580216,162.03490556464664,407.2575814938112,401.2999088532381,149.9165125523308,401.5540823149199]","[0.7145937707812464,0.17670359184170792,0.707925710711748,0.14892000821879786,0.14892000821879786,0.7057030240219152,0.15336538159846347,0.7690495946821502,0.14669732152896506,0.7490454144736549,0.7068143673668317,0.7834970581660633,0.13891791811455023,0.14892000821879786,0.760158847922819,0.14558597818404864]","[0.2367161324671936,0.8223940752381375,0.23782747581211,0.8501776588610475,0.8501776588610475,0.2422728491917756,0.8457322854813819,0.17670359184170792,0.8524003455508803,0.21782329560361477,0.21337792222394916,0.15336538159846347,0.860179748965295,0.8501776588610475,0.1667015017374603,0.8535116888957966]"
700,49932,686.4839723904984,1.1697467892430744,1.8542232583740517,74.02707923406753,10.760948029579701,195.38279123105247,1,"[0.011653585985616126]","[3.0]","[365.0]","[1.1697467892430744]","[0.6890182713995535]","[10.760948029579701]","[0.6303801399361785]","[7.0]","[1.0]","[-894347210]","[195.38279123105247]","[0.6890182713995535]","[0.27968606365478704]"
700,49932,1328.7146236726303,1.0,2.6959885245404474,1.0,9.260538421792415,288.1959388986971,1,"[0.0338673174798196]","[3.0]","[365.0]","[1.0]","[0.5599396489996842]","[9.260538421792415]","[1.220123621370643]","[7.0]","[1.0]","[-50396014]","[288.1959388986971]","[0.5599396489996842]","[0.3770561346086583]"
700,49932,605.175532262645,1.0697010674205216,4.488669634072972,13.46801644514876,10.29550236104467,411.3783179225629,20,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0]","[365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0]","[1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216]","[0.17515579257423813,0.15863166119931,0.1602840743368028,0.11897374589948251,0.12558339844945376,0.15532683492432436,0.15202200864933876,0.132193050999425,0.17680820571173095,0.16524131374928125,0.1437599429618747,0.13054063786193218,0.14706476923686032,0.15367442178683158,0.15532683492432436,0.16524131374928125,0.15863166119931,0.17350337943674532,0.12558339844945376,0.13549787727441062]","[9.739666194587977,8.551249489192564,12.262098272899616,11.153150929865335,10.386536388141655,9.775387811434694,10.299406421129577,10.43907357329786,10.91982694264127,10.531531695284462,9.730700959484693,10.31677593580922,11.075964503673726,9.754159306149784,10.030273460786274,12.45001544008486,10.291598300959764,9.368062702107615,9.43694492556761,9.562637171681358]","[0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855]","[7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-2108670505,-481082431,1804026041,-999483493,-1897597347,1969034772,-596465378,-1957789280,-1537921100,1236603807,-198600254,550299056,-45546063,188468078,-1904900209,-1339284080,236653779,1098795828,-562088218,1256100957]","[402.1041491883847,414.18659404973204,407.60998976251057,431.9549925171926,412.8415297558133,405.7245863726309,411.5014227013062,422.21401707167263,400.0948148131933,406.4252095429285,417.9375718718408,399.49333643114585,411.89139220175474,413.656169432597,407.6628669829106,411.2552131438197,412.4284264714397,390.8396488300961,409.3235421860908,412.74568979383866]","[0.17515579257423813,0.15863166119931,0.1602840743368028,0.11897374589948251,0.12558339844945376,0.15532683492432436,0.15202200864933876,0.132193050999425,0.17680820571173095,0.16524131374928125,0.1437599429618747,0.13054063786193218,0.14706476923686032,0.15367442178683158,0.15532683492432436,0.16524131374928125,0.15863166119931,0.17350337943674532,0.12558339844945376,0.13549787727441062]","[0.8245541556089134,0.8410782869838416,0.8394258738463488,0.8807362022836691,0.8741265497336979,0.8443831132588272,0.8476879395338128,0.8675168971837266,0.8229017424714207,0.8344686344338703,0.8559500052212768,0.8691693103212194,0.8526451789462912,0.84603552639632,0.8443831132588272,0.8344686344338703,0.8410782869838416,0.8262065687464063,0.8741265497336979,0.864212070908741]"
