X.step.,meanI,SdI,meanS,SdS,meanE,SdE,meanR,SdR
0,0.01,0,0.99,0,0,0,0,0
1,0.01,0,0.99,0,0,0,0,0
2,0.01,0,0.99,0,0,0,0,0
3,0,0,1,0,0,0,0,0
4,0,0,0.9759599999999999,0.004685888498503587,0.02404,0.004685888498503583,0,0
5,0,0,0.9759599999999999,0.004685888498503587,0.02404,0.004685888498503583,0,0
6,0,0,0.9645199999999999,0.0059906048892224215,0.03548,0.005990604889222416,0,0
7,0,0,0.9645199999999999,0.0059906048892224215,0.03548,0.005990604889222416,0,0
8,0.02404,0.004685888498503583,0.95404,0.007444927049710447,0.02192,0.006527305285162805,0,0
9,0.02404,0.004685888498503583,0.95404,0.007444927049710447,0.02192,0.006527305285162805,0,0
10,0.03548,0.005990604889222416,0.9436399999999999,0.008198456798541452,0.02088,0.004732173854345918,0,0
11,0.03548,0.005990604889222416,0.9436399999999999,0.008198456798541452,0.02088,0.004732173854345918,0,0
12,0.04596,0.007444927049710441,0.93388,0.009101782736342986,0.02016,0.006085647216263553,0,0
13,0.04596,0.007444927049710441,0.93388,0.009101782736342986,0.02016,0.006085647216263553,0,0
14,0.05636,0.008198456798541481,0.92396,0.009642507930184627,0.01968,0.006717142249498665,0,0
15,0.05636,0.008198456798541481,0.92396,0.009642507930184627,0.01968,0.006717142249498665,0,0
16,0.04208,0.00740611991834442,0.91456,0.011421712227336222,0.01932,0.0058219850741891834,0.02404,0.004685888498503583
17,0.04208,0.00740611991834442,0.91456,0.011421712227336222,0.01932,0.0058219850741891834,0.02404,0.004685888498503583
18,0.04056,0.0071146873093765745,0.9069200000000001,0.01157202820315843,0.01704,0.005272028614706649,0.03548,0.005990604889222416
19,0.04056,0.0071146873093765745,0.9069200000000001,0.01157202820315843,0.01704,0.005272028614706649,0.03548,0.005990604889222416
20,0.03948,0.008579139388835061,0.89788,0.011961912344553264,0.01668,0.005490028065799419,0.04596,0.007444927049710441
21,0.03948,0.008579139388835061,0.89788,0.011961912344553264,0.01668,0.005490028065799419,0.04596,0.007444927049710441
22,0.03672,0.008415340705145186,0.89028,0.012904737304492465,0.01664,0.005336665625650533,0.05636,0.008198456798541481
23,0.03672,0.008415340705145186,0.89028,0.012904737304492465,0.01664,0.005336665625650533,0.05636,0.008198456798541481
24,0.036,0.007969328960560773,0.88312,0.012494308908540764,0.01476,0.005328245872858408,0.06612,0.00910178273634302
25,0.036,0.007969328960560773,0.88312,0.012494308908540764,0.01476,0.005328245872858408,0.06612,0.00910178273634302
26,0.03368,0.007310713413357475,0.87628,0.013334074809314986,0.014,0.005095015571464859,0.07604,0.009642507930184629
27,0.03368,0.007310713413357475,0.87628,0.013334074809314986,0.014,0.005095015571464859,0.07604,0.009642507930184629
28,0.03144,0.007762179369959739,0.86876,0.01485104270372136,0.01436,0.005185379760953494,0.08544,0.011421712227336216
29,0.03144,0.007762179369959739,0.86876,0.01485104270372136,0.01436,0.005185379760953494,0.08544,0.011421712227336216
30,0.03064,0.00794306269004338,0.861,0.015702593052468405,0.01528,0.005447485845857364,0.09308,0.011572028203158419
31,0.03064,0.00794306269004338,0.861,0.015702593052468405,0.01528,0.005447485845857364,0.09308,0.011572028203158419
32,0.02912,0.008092929642847616,0.8532,0.016946494430099348,0.01556,0.00527280276319832,0.10212,0.011961912344553252
33,0.02912,0.008092929642847616,0.8532,0.016946494430099348,0.01556,0.00527280276319832,0.10212,0.011961912344553252
