"BehaviorSpace results (NetLogo 6.2.2)"
"../repro-seir-master/model/m2-seir.nlogo"
"experiment"
"04/14/2023 16:45:27:554 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","pop-init","te-g","ti-g","infectionRadius-i","beta","tr-g","prop-infecte","[step]","propSuseptible","propExposed","propInfected","propRecovered"
"21","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"18","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"6","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"25","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"10","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"26","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"9","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"14","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"15","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"21","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"18","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"11","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"27","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"28","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"25","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"10","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"26","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"6","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"23","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"20","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"7","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"17","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"2","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"9","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"14","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"30","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"22","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"13","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"15","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"21","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"5","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"18","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"29","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"12","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"8","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"24","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"19","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"1","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"11","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"16","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"4","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"3","20000","3","7","1","0.5","365","0.1","0","0.999","0","0.001","0"
"27","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"10","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"26","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"6","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"25","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"28","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"14","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"9","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"15","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"23","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"11","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"17","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"20","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"30","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"27","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"22","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"2","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"7","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"29","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"24","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"13","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"5","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"12","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"8","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"19","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"16","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"23","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"17","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"1","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"4","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"28","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"3","20000","3","7","1","0.5","365","0.1","1","0.999","0","0.001","0"
"22","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"20","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"30","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"2","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"29","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"7","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"24","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"13","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"8","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"16","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"12","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"5","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"19","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"1","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"4","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"3","20000","3","7","1","0.5","365","0.1","2","0.999","0","0.001","0"
"23","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"23","20000","3","7","1","0.5","365","0.1","4","0.9979","0.0021","0","0"
"28","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"28","20000","3","7","1","0.5","365","0.1","4","0.9983","0.0017","0","0"
"16","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"16","20000","3","7","1","0.5","365","0.1","4","0.998","0.002","0","0"
"22","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"22","20000","3","7","1","0.5","365","0.1","4","0.99765","0.00235","0","0"
"20","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"20","20000","3","7","1","0.5","365","0.1","4","0.9979","0.0021","0","0"
"28","20000","3","7","1","0.5","365","0.1","5","0.9983","0.0016","1.0E-4","0"
"28","20000","3","7","1","0.5","365","0.1","6","0.99695","0.0024","6.5E-4","0"
"23","20000","3","7","1","0.5","365","0.1","5","0.9979","0.0016","5.0E-4","0"
"29","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"23","20000","3","7","1","0.5","365","0.1","6","0.99675","0.00235","9.0E-4","0"
"29","20000","3","7","1","0.5","365","0.1","4","0.9982","0.0018","0","0"
"10","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"10","20000","3","7","1","0.5","365","0.1","4","0.99765","0.00235","0","0"
"27","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"27","20000","3","7","1","0.5","365","0.1","4","0.998","0.002","0","0"
"22","20000","3","7","1","0.5","365","0.1","5","0.99765","0.0019","4.5E-4","0"
"22","20000","3","7","1","0.5","365","0.1","6","0.99615","0.00295","9.0E-4","0"
"26","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"26","20000","3","7","1","0.5","365","0.1","4","0.99805","0.00195","0","0"
"3","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"12","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"3","20000","3","7","1","0.5","365","0.1","4","0.99815","0.00185","0","0"
"12","20000","3","7","1","0.5","365","0.1","4","0.99815","0.00185","0","0"
"1","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"4","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"2","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"6","20000","3","7","1","0.5","365","0.1","3","1","0","0","0"
"1","20000","3","7","1","0.5","365","0.1","4","0.9981","0.0019","0","0"
