"t","S","E","I","R"
0,0.999,0,0.001,0
1,0.999,0,0.001,0
2,0.999,0,0.001,0
3,1,0,0,0
4,0.9982,0.0018,0,0
5,0.9982,0.00155,0.00025,0
6,0.9973,0.00205,0.00065,0
7,0.9973,0.00165,0.00105,0
8,0.99575,0.0026,0.00155,1e-04
9,0.99575,0.002,0.00205,2e-04
10,0.99325,0.004,0.00235,4e-04
11,0.99325,0.003,0.0032,0.00055
12,0.99015,0.0051,0.00375,0.001
13,0.99015,0.004,0.0043,0.00155
14,0.9861,0.00725,0.0045,0.00215
15,0.9861,0.00545,0.00555,0.0029
16,0.97995,0.01035,0.00645,0.00325
17,0.97995,0.0081,0.0079,0.00405
18,0.97215,0.0142,0.00855,0.0051
19,0.97215,0.0109,0.0107,0.00625
20,0.9618,0.01755,0.0127,0.00795
21,0.9618,0.0141,0.015,0.0091
22,0.94635,0.02605,0.01635,0.01125
23,0.9464,0.02055,0.0202,0.01285
24,0.9274,0.0336,0.0237,0.0153
25,0.9275,0.02625,0.0281,0.01815
26,0.9023,0.04385,0.0328,0.02105
27,0.9024,0.03475,0.0387,0.02415
28,0.8687,0.059,0.04355,0.02875
29,0.86875,0.04755,0.05065,0.03305
30,0.8254,0.07735,0.05815,0.0391
31,0.82565,0.06225,0.06685,0.04525
32,0.76785,0.10175,0.07735,0.05305
33,0.76805,0.0797,0.09075,0.0615
34,0.69745,0.1284,0.10245,0.0717
35,0.6975,0.10085,0.11835,0.0833
36,0.6206,0.1488,0.1348,0.0958
37,0.6207,0.1175,0.15055,0.11125
38,0.53385,0.17135,0.1659,0.1289
39,0.5339,0.13465,0.18425,0.1472
40,0.4429,0.1867,0.201,0.1694
41,0.4433,0.1437,0.2198,0.1932
42,0.35615,0.19065,0.2356,0.2176
43,0.3563,0.14715,0.2498,0.24675
44,0.27265,0.1883,0.2599,0.27915
45,0.27285,0.1455,0.27065,0.311
46,0.20435,0.17105,0.2813,0.3433
47,0.20475,0.13305,0.2819,0.3803
48,0.1516,0.15185,0.28245,0.4141
49,0.15195,0.1152,0.28715,0.4457
50,0.111,0.12535,0.28135,0.4823
51,0.11145,0.09685,0.27415,0.51755
52,0.08475,0.09765,0.2692,0.5484
53,0.08615,0.07245,0.26025,0.58115
54,0.0653,0.07205,0.2503,0.61235
55,0.06605,0.0553,0.2356,0.64305
56,0.053,0.05485,0.22105,0.6711
57,0.0541,0.04215,0.20495,0.6988
58,0.04635,0.0398,0.19265,0.7212
59,0.0483,0.03075,0.1775,0.74345
60,0.04305,0.0289,0.1642,0.76385
61,0.0444,0.0231,0.15055,0.78195
62,0.04125,0.02265,0.13485,0.80125
63,0.04355,0.0186,0.1223,0.81555
64,0.04095,0.0181,0.11155,0.8294
65,0.04345,0.01415,0.10245,0.83995
66,0.0418,0.0134,0.0943,0.8505
67,0.04415,0.01055,0.08645,0.85885
68,0.0431,0.01085,0.07835,0.8677
69,0.0453,0.00935,0.0704,0.87495
70,0.04515,0.0093,0.0627,0.88285
71,0.04785,0.008,0.05725,0.8869
72,0.04785,0.00795,0.05245,0.89175
73,0.0502,0.00675,0.04815,0.8949
74,0.05095,0.0065,0.04275,0.8998
75,0.05375,0.0053,0.0394,0.90155
76,0.05455,0.0065,0.0355,0.90345
77,0.05775,0.00555,0.03225,0.90445
78,0.0592,0.00545,0.03035,0.905
79,0.0626,0.00445,0.0273,0.90565
80,0.0639,0.00445,0.024,0.90765
81,0.06715,0.00405,0.0214,0.9074
82,0.0683,0.00415,0.01905,0.9085
83,0.0722,0.0039,0.01715,0.90675
84,0.0743,0.0031,0.01605,0.90655
85,0.07795,0.0024,0.0151,0.90455
86,0.07915,0.0028,0.01345,0.9046
87,0.08205,0.00295,0.0117,0.9033
88,0.08475,0.00295,0.01095,0.90135
89,0.0884,0.00235,0.0102,0.89905
90,0.09075,0.00235,0.0092,0.8977
91,0.09465,0.00205,0.00855,0.89475
92,0.09685,0.00165,0.0078,0.8937
93,0.10055,0.00135,0.00755,0.89055
94,0.1025,0.00185,0.00655,0.8891
95,0.10645,0.0016,0.0058,0.88615
96,0.1088,0.0015,0.00555,0.88415
97,0.11235,0.0014,0.0051,0.88115
98,0.11405,0.00175,0.005,0.8792
99,0.1167,0.00155,0.00495,0.8768
100,0.119,0.00145,0.00455,0.875
101,0.12185,0.0014,0.00405,0.8727
102,0.1246,0.00145,0.00395,0.87
103,0.12835,0.00105,0.00415,0.86645
104,0.13135,0.00105,0.00355,0.86405
105,0.13505,0.00085,0.0034,0.8607
106,0.13715,0.00105,0.00335,0.85845
107,0.14035,8e-04,0.00325,0.8556
108,0.14225,0.00105,0.0026,0.8541
109,0.1458,0.00105,0.0024,0.85075
110,0.14775,8e-04,0.00245,0.849
111,0.15075,0.00075,0.00215,0.84635
112,0.15285,8e-04,0.0021,0.84425
113,0.15545,8e-04,0.00175,0.842
114,0.15775,5e-04,0.00195,0.8398
115,0.16115,0.00055,0.00175,0.83655
116,0.1633,0.00065,0.00165,0.8344
117,0.1661,6e-04,0.0015,0.8318
118,0.1681,4e-04,0.00145,0.83005
119,0.16995,0.00025,0.00145,0.82835
120,0.1716,0.00035,0.0013,0.82675
121,0.17405,0.00035,0.00135,0.82425
122,0.176,0.00045,0.00115,0.8224
123,0.1787,3e-04,0.0014,0.8196
124,0.1809,0.00025,0.00155,0.8173
125,0.183,2e-04,0.00145,0.81535
126,0.1849,0.00035,0.00145,0.8133
127,0.18745,4e-04,0.0013,0.81085
128,0.1898,5e-04,0.0012,0.8085
129,0.19255,5e-04,0.0013,0.80565
130,0.19485,4e-04,0.0013,0.80345
131,0.19705,0.00045,0.0014,0.8011
132,0.1991,0.00045,0.0014,0.79905
133,0.2013,6e-04,0.00135,0.79675
134,0.20325,0.00045,0.00135,0.79495
135,0.20545,0.00045,0.0012,0.7929
136,0.20715,0.00045,0.00105,0.79135
137,0.2101,3e-04,0.00115,0.78845
138,0.21155,4e-04,0.001,0.78705
139,0.21335,4e-04,0.00105,0.7852
140,0.21525,5e-04,0.00095,0.7833
141,0.2177,6e-04,0.00085,0.78085
142,0.2191,0.00065,9e-04,0.77935
143,0.2213,6e-04,0.00085,0.77725
144,0.2232,6e-04,9e-04,0.7753
145,0.22565,5e-04,0.00105,0.7728
146,0.2273,6e-04,0.00105,0.77105
147,0.22965,6e-04,0.001,0.76875
148,0.23145,4e-04,0.0012,0.76695
149,0.23395,3e-04,0.001,0.76475
150,0.2366,2e-04,0.001,0.7622
151,0.23905,0.00025,0.00085,0.75985
152,0.24055,0.00045,0.00075,0.75825
153,0.24235,0.00065,0.00075,0.75625
154,0.245,0.00055,0.00085,0.7536
155,0.2473,3e-04,0.0011,0.7513
156,0.24895,0.00035,0.0011,0.7496
157,0.25115,0.00035,0.00115,0.74735
158,0.25385,0.00035,0.0011,0.7447
159,0.25585,0.00055,0.001,0.7426
160,0.25755,0.00055,0.00105,0.74085
161,0.25945,0.00075,9e-04,0.7389
162,0.26085,8e-04,0.001,0.73735
163,0.2627,0.00065,0.00125,0.7354
164,0.2644,0.00075,0.00115,0.7337
165,0.2662,0.00085,0.0013,0.73165
166,0.26785,0.001,0.0014,0.72975
167,0.26995,0.00085,0.0016,0.7276
168,0.27175,9e-04,0.00165,0.7257
169,0.27335,0.00085,0.0017,0.7241
170,0.27525,0.00075,0.00165,0.72235
171,0.27655,0.00075,0.00155,0.72115
172,0.27885,6e-04,0.0016,0.71895
173,0.2805,0.00085,0.0014,0.71725
174,0.2822,0.00105,0.0013,0.71545
175,0.2836,9e-04,0.00145,0.71405
176,0.2854,0.00105,0.00135,0.7122
177,0.28745,0.00075,0.0015,0.7103
